Stop_Code_LBSL,Stop_Name,Location_Easting,Location_Northing,Latitude,Longitude,Heading,Sms_Code,Stop_Area,Virtual_Bus_Stop
10001,TREVOR CLOSE,515781,174783,51.45967843,-0.333249939,78,72689,NB16,0
10002,HIGHBURY CORNER,531614,184603,51.54447604,-0.101784247,5,48461,C902,0
10003,HIGHBURY & ISLINGTON STATION <> #,531573,184786,51.54613032,-0.102306783,127,77150,C903,0
10004,ST MARY MAGDALENE CHURCH,531403,184942,51.54757199,-0.104698996,136,48037,C904,0
10005,ST MARY MAGDALENE CHURCH,531328,185009,51.54819161,-0.105755113,322,57538,C904,0
10010,HOLLOWAY ROAD STATION <>,531014,185403,51.55180571,-0.110134754,140,48458,C703,0
10011,HOLLOWAY ROAD STATION <>,530939,185465,51.55238035,-0.111192904,321,58713,C703,0
10014,LYNWOOD ROAD,517950,182729,51.5306536,-0.299383817,99,71829,QT08,0
10015,LYNWOOD ROAD,517907,182704,51.53043787,-0.300011874,278,54595,QT08,0
10016,WOOLWICH ROAD / BEDONWELL ROAD,548180,177996,51.48099703,0.13419445,254,71358,E609,0
10017,WOOLWICH ROAD / BEDONWELL ROAD,548036,177997,51.48104373,0.132122423,88,53343,E609,0
10019,QUEENS ROAD,521827,168125,51.39856445,-0.248546401,83,54840,K306,0
10023,ST JOSEPH'S CHURCH,521080,168163,51.39906597,-0.259267383,106,47747,K302,0
10024,ST JOSEPH'S CHURCH,521017,168169,51.39913335,-0.260170621,286,55564,K302,0
10028,WESTBURY ROAD,520697,168304,51.40041499,-0.264722976,294,54775,K301,0
10031,ARCHDALE PLACE,519927,168691,51.40405692,-0.27565712,124,54086,K415,0
10032,CALIFORNIA ROAD,520074,168585,51.40307303,-0.27358043,295,48984,K415,0
10037,WATERS ROAD,519527,168967,51.40662223,-0.281312622,130,55215,K206,0
10038,CAMBRIDGE GROVE,519254,169156,51.40837856,-0.285172656,299,49132,K205,0
10041,VICARAGE HOUSE,518954,169281,51.40956516,-0.289442537,101,48178,K202,0
1005,RAYNES PARK STATION #,523241,169249,51.40836187,-0.227837774,248,73736,LG02,0
1007,KINGS ROAD,518686,175064,51.46160245,-0.2913558,278,52849,M814,0
1008,ST MARY'S GROVE,518796,175063,51.46157038,-0.289773297,103,52652,M814,0
1010,CLAPTON POND,534857,185908,51.55543864,-0.054540047,66,55430,D908,0
10107,CEDAR WAY,500333,178601,51.49695078,-0.554468248,303,76125,6Z11,0
1011,CLAPTON POND,534887,186004,51.55629424,-0.054070702,168,54763,D902,0
10111,DITTON PARK ROAD,500753,178316,51.49431402,-0.548500642,124,77093,6Z10,0
1013,CHAPTER ROAD,522062,184972,51.54994,-0.239348124,319,74398,R702,0
1014,CHAPTER ROAD,522046,185008,51.55026703,-0.239566302,137,53531,R702,0
1017,ST JOHN STREET / GOSWELL ROAD,531453,183089,51.53090646,-0.104670382,349,77744,C102,0
1019,CANONS CORNER,518335,192854,51.62158049,-0.290423619,54,50678,SD07,0
1023,TALLY HO CORNER,526317,192117,51.61322131,-0.175435013,14,55186,TU08,0
10240,KILBURN PARK STATION <>,525408,183392,51.53500513,-0.191673278,23,56141,RC09,0
10241,KILBURN PARK STATION <>,525381,183300,51.53418423,-0.192095166,200,72081,RC09,0
10242,FAIRLAWN AVENUE,527295,189380,51.58840159,-0.162309783,186,50012,TW02,0
10243,MULGRAVE ROAD,524679,177667,51.48370995,-0.204204321,255,59162,6D02,0
10244,FULHAM POOLS,524535,177622,51.48333722,-0.206293183,66,50268,6G06,0
10258,THIRLMERE GARDENS,507950,191964,51.61566857,-0.440666436,119,47901,PN05,0
1026,QUEENS GROVE,526571,183570,51.53634537,-0.174848451,11,72076,0Q04,0
10260,HOMERTON HIGH ST / HACKNEY HOSPITAL,536020,185145,51.54830218,-0.038068152,252,71039,DD16,0
10261,HOMERTON HIGH ST / HACKNEY HOSPITAL,535998,185150,51.54835242,-0.038383343,73,55897,DD16,0
1027,QUEENS GROVE,526591,183569,51.5363319,-0.174560568,163,73838,0Q05,0
10281,MORDEN SOUTH STATION #,525286,167949,51.396229,-0.19890605,5,53798,LC09,0
10282,MORDEN SOUTH STATION #,525298,167852,51.3953545,-0.198767883,202,56317,LC09,0
10283,CHALGROVE AVENUE,525191,167781,51.39473996,-0.200330303,58,72299,LE14,0
10284,BUSHEY ROAD / GRAND DRIVE,523147,169056,51.40664754,-0.229255792,79,55063,LG01,0
10287,BUSHEY ROAD,523244,168951,51.40568269,-0.227898226,357,48147,LG06,0
10288,BUSHEY ROAD,523258,168879,51.40503249,-0.22772205,176,57612,LG06,0
10289,LEA BRIDGE ROAD,536921,187624,51.57036317,-0.024114959,150,72760,YJ06,0
1029,THAMES AVENUE,550121,183083,51.52619736,0.164294235,287,72571,WK06,0
10290,LEA BRIDGE ROAD,536889,187654,51.57064055,-0.024564761,325,58626,YJ06,0
